stratum_bmv2 -device_id=1 -chassis_config_file=/tmp/spine2/chassis-config.txt -forwarding_pipeline_configs_file=/tmp/spine2/pipe.txt -persistent_config_dir=/tmp/spine2 -initial_pipeline=/root/dummy.json -cpu_port=255 -external_stratum_urls=0.0.0.0:50004 -local_stratum_url=localhost:47891 -max_num_controllers_per_node=10 -write_req_log_file=/tmp/spine2/write-reqs.txt -logtosyslog=false -logtostderr=true -bmv2_log_level=warn

--------------------------------------------------------------------------------

E1019 22:11:00.529891   148 main.cc:121] Starting bmv2 simple_switch and waiting for P4 pipeline
W1019 22:11:00.541400   148 credentials_manager.cc:45] Using insecure server credentials
I1019 22:11:00.550594   148 timer_daemon.cc:90] The timer daemon has been started.
I1019 22:11:00.550839   148 hal.cc:128] Setting up HAL in COLDBOOT mode...
I1019 22:11:00.551118   148 config_monitoring_service.cc:90] Pushing the saved chassis config read from /tmp/spine2/chassis-config.txt...
I1019 22:11:00.570245   148 bmv2_chassis_manager.cc:476] Registered port status callbacks successfully for node 1.
I1019 22:11:00.570294   148 bmv2_chassis_manager.cc:61] Adding port 1 to node 1
I1019 22:11:00.614187   148 bmv2_chassis_manager.cc:61] Adding port 2 to node 1
I1019 22:11:00.637532   148 p4_service.cc:119] Pushing the saved forwarding pipeline configs read from /tmp/spine2/pipe.txt...
E1019 22:11:00.637611   148 utils.cc:109] StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine2/pipe.txt not found.
E1019 22:11:00.637905   148 utils.cc:65] Return Error: ReadFileToString(filename, &text) failed with StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine2/pipe.txt not found.
W1019 22:11:00.637921   148 p4_service.cc:128] No saved forwarding pipeline config found at /tmp/spine2/pipe.txt. This is normal when the switch is just installed and no master controller is connected yet.
E1019 22:11:00.638993086     148 server_chttp2.cc:40]        {"created":"@1697753460.638957034","description":"Only 1 addresses added out of total 2 resolved","file":"external/com_github_grpc_grpc/src/core/ext/transport/chttp2/server/chttp2_server.cc","file_line":406,"referenced_errors":[{"created":"@1697753460.638953042","description":"Address family not supported by protocol","errno":97,"file":"external/com_github_grpc_grpc/src/core/lib/iomgr/socket_utils_common_posix.cc","file_line":420,"os_error":"Address family not supported by protocol","syscall":"socket","target_address":"[::1]:47891"}]}
E1019 22:11:00.639230   148 hal.cc:223] Stratum external facing services are listening to 0.0.0.0:50004, localhost:47891...
I1019 22:11:00.763108   213 bmv2_chassis_manager.cc:409] State of port 1 in node 1: UP.
I1019 22:11:00.763227   213 bmv2_chassis_manager.cc:409] State of port 2 in node 1: UP.
I1019 22:11:51.862026   222 p4_service.cc:696] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.21.0.3:35796) is connected as MASTER for node (aka device) with ID 1.
I1019 22:11:51.974644   222 p4_service.cc:696] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.21.0.3:35796) is connected as MASTER for node (aka device) with ID 1.
I1019 22:11:52.212106   238 bmv2_switch.cc:74] P4-based forwarding pipeline config pushed successfully to node with ID 1.
E1019 22:11:52.409875   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.409973   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.410795   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.410867   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.411020   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.411481   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.411567   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.412647   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.412724   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1019 22:11:52.412886   245 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
I1019 22:11:52.486402   222 p4_service.cc:696] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.21.0.3:35796) is connected as MASTER for node (aka device) with ID 1.
I1019 22:11:52.853621   245 config_monitoring_service.cc:377] Initial Subscribe request from ipv4:172.21.0.3:33826 over stream 0x7fe7767fb510.
